date,time_in,time_out,break_start,break_end,overtime_in,overtime_out,employee_id
2026-05-01,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-02,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-03,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-04,08:17,17:02,12:00,13:00,0:00,0:00,1
2026-05-05,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-06,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-09,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-10,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-11,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-12,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-13,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-16,08:00,17:00,12:00,13:00,17:30,19:00,1
2026-05-17,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-18,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-19,00:00,00:00,00:00,00:00,0:00,0:00,1
2026-05-20,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-23,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-24,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-25,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-26,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-27,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-30,08:00,17:00,12:00,13:00,0:00,0:00,1
2026-05-01,08:00,17:00,12:00,13:00,0:00,0:00,2
2026-05-02,08:00,17:00,12:00,13:00,0:00,0:00,2
2026-05-03,08:00,17:00,12:00,13:00,0:00,0:00,2
2026-05-04,08:00,17:00,12:00,13:00,0:00,0:00,2
2026-05-05,08:00,17:00,12:00,13:00,0:00,0:00,2
2026-05-06,08:00,17:00,12:00,13:00,0:00,0:00,2
2026-05-07,08:00,17:00,12:00,13:00,0:00,0:00,2
2026-05-08,08:00,17:00,12:00,13:00,0:00,0:00,2
2026-05-09,08:00,17:00,12:00,13:00,0:00,0:00,2
2026-05-10,08:00,17:00,12:00,13:00,0:00,0:00,2
2026-05-11,08:00,17:00,12:00,13:00,0:00,0:00,2
2026-05-12,08:00,17:00,12:00,13:00,0:00,0:00,2
